institut,loebetid,aktuel_kurs,max_antal_afdragsfrie_aar,kuponrente,isin
Jyske,10,86.896,0.0,-0.5,DK0009404451
Jyske,10,86.953,0.0,0.0,DK0009403800
Jyske,10,94.076,0.0,2.0,DK0009408957
Jyske,15,81.843,0.0,0.0,DK0009404022
Jyske,15,84.281,0.0,0.5,DK0009403990
Jyske,15,85.95,0.0,1.5,DK0009407710
Jyske,20,73.395,0.0,0.0,DK0009405342
Jyske,20,76.313,0.0,0.5,DK0009399784
Jyske,20,79.597,0.0,1.0,DK0009405698
Jyske,20,83.243,0.0,1.5,DK0009407041
Jyske,20,85.793,0.0,2.0,DK0009407553
Jyske,20,91.155,0.0,3.0,DK0009408874
Jyske,20,95.8,0.0,4.0,DK0009410268
Jyske,30,67.365,0.0,0.5,DK0009399867
Jyske,30,66.266,10.0,0.5,DK0009404535
Jyske,30,73.146,0.0,1.0,DK0009399941
Jyske,30,68.298,10.0,1.0,DK0009403131
Jyske,30,62.816,30.0,1.0,DK0009405185
Jyske,30,77.454,0.0,1.5,DK0009403644
Jyske,30,73.637,10.0,1.5,DK0009403727
Jyske,30,69.954,30.0,1.5,DK0009405508
Jyske,30,82.313,0.0,2.0,DK0009407124
Jyske,30,79.653,10.0,2.0,DK0009406746
Jyske,30,76.583,30.0,2.0,DK0009406076
Jyske,30,85.792,0.0,2.5,DK0009407470
Jyske,30,83.883,10.0,2.5,DK0009407397
Jyske,30,80.955,30.0,2.5,DK0009407207
Jyske,30,88.732,0.0,3.0,DK0009408288
Jyske,30,87.123,10.0,3.0,DK0009408015
Jyske,30,83.969,30.0,3.0,DK0009407983
Jyske,30,90.575,10.0,3.5,DK0009408791
Jyske,30,94.457,0.0,4.0,DK0009409252
Jyske,30,93.328,10.0,4.0,DK0009409179
Jyske,30,91.358,30.0,4.0,DK0009409096
Jyske,30,97.855,0.0,5.0,DK0009409922
Jyske,30,97.205,10.0,5.0,DK0009409419
Jyske,30,96.233,30.0,5.0,DK0009409336
Nordea,30,96.825,30.0,5.0,DK0002055839
Nordea,30,91.35,30.0,4.0,DK0002054519
Nordea,30,83.975,30.0,3.0,DK0002053628
Nordea,30,80.925,30.0,2.5,DK0002053115
Nordea,30,76.775,30.0,2.0,DK0002050871
Nordea,30,69.8,30.0,1.5,DK0002050012
Nordea,30,62.725,30.0,1.0,DK0002049006
Nordea,30,97.45,10.0,5.0,DK0002056050
Nordea,30,93.65,10.0,4.0,DK0002055086
Nordea,30,90.475,10.0,3.5,DK0002054782
Nordea,30,87.15,10.0,3.0,DK0002053701
Nordea,30,83.9,10.0,2.5,DK0002053388
Nordea,30,79.85,10.0,2.0,DK0002051093
Nordea,30,73.575,10.0,1.5,DK0002050442
Nordea,30,68.225,10.0,1.0,DK0002047307
Nordea,30,66.275,10.0,0.5,DK0002049196
Nordea,30,98.425,0.0,5.0,DK0002055912
Nordea,30,94.825,0.0,4.0,DK0002054949
Nordea,30,88.6,0.0,3.0,DK0002053891
Nordea,30,85.575,0.0,2.5,DK0002053461
Nordea,30,82.475,0.0,2.0,DK0002053032
Nordea,30,77.325,0.0,1.5,DK0002050368
Nordea,30,72.75,0.0,1.0,DK0002047224
Nordea,30,67.75,0.0,0.5,DK0002048701
Nordea,20,96.1,0.0,4.0,DK0002056134
Nordea,20,91.325,0.0,3.0,DK0002054436
Nordea,20,86.225,0.0,2.0,DK0002053545
Nordea,20,83.225,0.0,1.5,DK0002051176
Nordea,20,79.35,0.0,1.0,DK0002050285
Nordea,20,76.475,0.0,0.5,DK0002047141
Nordea,20,74.875,0.0,0.0,DK0002049279
Nordea,15,96.1,0.0,4.0,DK0002056134
Nordea,15,91.325,0.0,3.0,DK0002054436
Nordea,15,86.225,0.0,2.0,DK0002053545
Nordea,15,83.225,0.0,1.5,DK0002051176
Nordea,15,79.35,0.0,1.0,DK0002050285
Nordea,10,87.275,0.0,0.0,DK0002048628
TotalKredit,30,98.15,0.0,5.0,DKK000953911
TotalKredit,30,95.05,0.0,4.0,DKK000953741
TotalKredit,30,91.85,0.0,3.5,DKK000953709
TotalKredit,30,88.7,0.0,3.0,DKK000953547
TotalKredit,30,85.65,0.0,2.5,DKK000953512
TotalKredit,30,82.6,0.0,2.0,DKK000952850
TotalKredit,30,77.15,0.0,1.5,DKK000952761
TotalKredit,30,72.55,0.0,1.0,DKK000952729
TotalKredit,30,67.55,0.0,0.5,DKK000953024
TotalKredit,30,97.5,10.0,5.0,DKK000953938
TotalKredit,30,93.45,10.0,4.0,DKK000953768
TotalKredit,30,90.35,10.0,3.5,DKK000953695
TotalKredit,30,87.0,10.0,3.0,DKK000953539
TotalKredit,30,83.75,10.0,2.5,DKK000953490
TotalKredit,30,79.8,10.0,2.0,DKK000952869
TotalKredit,30,73.55,10.0,1.5,DKK000952842
TotalKredit,30,68.4,10.0,1.0,DKK000952737
TotalKredit,30,66.3,10.0,0.5,DKK000953091
TotalKredit,30,96.6,30.0,5.0,DKK000953946
TotalKredit,30,91.4,30.0,4.0,DKK000953687
TotalKredit,30,84.1,30.0,3.0,DKK000953520
TotalKredit,30,80.8,30.0,2.5,DKK000953482
TotalKredit,30,76.8,30.0,2.0,DKK000953288
TotalKredit,30,70.15,30.0,1.5,DKK000953202
TotalKredit,30,63.05,30.0,1.0,DKK000953105
TotalKredit,20,95.95,0.0,4.0,DKK000953954
TotalKredit,20,91.2,0.0,3.0,DKK000953717
TotalKredit,20,86.05,0.0,2.0,DKK000953555
TotalKredit,20,83.15,0.0,1.5,DKK000953423
TotalKredit,20,79.35,0.0,1.0,DKK000952931
TotalKredit,20,76.0,0.0,0.5,DKK000952710
TotalKredit,10,97.43,0.0,3.0,DKK000953962
TotalKredit,10,94.15,0.0,2.0,DKK000953725
TotalKredit,10,90.7,0.0,1.0,DKK000953571
TotalKredit,10,87.3,0.0,0.0,DKK000952966
TotalKredit,10,86.7,0.0,-0.5,DKK000953059
